Created directory results\ACM_2022-09-26_14-31-44
Downloading C:\Users\lenovo\.dgl/ACM3025.pkl from https://data.dgl.ai/dataset/ACM3025.pkl...
dataset loaded
{'dataset': '细胞因子', 'test': 0.4, 'train': 0.2, 'val': 0.4}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 52 | Train Loss 0.5493 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6286 | Val Micro f1 0.7812 | Val Macro f1 0.7703
Epoch 53 | Train Loss 0.5819 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.6262 | Val Micro f1 0.7812 | Val Macro f1 0.7703
Epoch 54 | Train Loss 0.5674 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6238 | Val Micro f1 0.7937 | Val Macro f1 0.7846
Epoch 55 | Train Loss 0.5683 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.6214 | Val Micro f1 0.8062 | Val Macro f1 0.7987
Epoch 56 | Train Loss 0.5622 | Train Micro f1 0.9750 | Train Macro f1 0.9750 | Val Loss 0.6189 | Val Micro f1 0.8125 | Val Macro f1 0.8057
Epoch 57 | Train Loss 0.5736 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.6164 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 58 | Train Loss 0.5488 | Train Micro f1 0.9875 | Train Macro f1 0.9875 | Val Loss 0.6140 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 59 | Train Loss 0.5538 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6116 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 60 | Train Loss 0.5449 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6091 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 61 | Train Loss 0.5532 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6066 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 62 | Train Loss 0.5183 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6039 | Val Micro f1 0.8187 | Val Macro f1 0.8126
Epoch 63 | Train Loss 0.5294 | Train Micro f1 1.0000 | Train Macro f1 1.0000 | Val Loss 0.6011 | Val Micro f1 0.8250 | Val Macro f1 0.8195
