{'lr': 0.003, 'lr2': 0.001, 'num_heads': [8], 'hidden_units': 8, 'dropout': 0.6, 'weight_decay': 0.001, 'weight_decay2': 0.001, 'num_epochs': 50, 'num_epochs1': 117, 'patience': 100}
Created directory results\IMDB_2022-11-20_10-23-36
dataset loaded
{'dataset': 'ACM',
 'test': 0.8174627319744447,
 'train': 0.09126863401277761,
 'val': 0.09126863401277761}
bbbbb
aaaaaaaaaaaaaaaaaaaaaaa
Epoch 88 | Train Loss 0.5924 | Train Micro f1 0.8767 | Train Macro f1 0.8769 | Val Loss 0.9005 | Val Micro f1 0.5833 | Val Macro f1 0.5761
Epoch 89 | Train Loss 0.6187 | Train Micro f1 0.8167 | Train Macro f1 0.8149 | Val Loss 0.8993 | Val Micro f1 0.5833 | Val Macro f1 0.5761
Epoch 90 | Train Loss 0.6176 | Train Micro f1 0.8433 | Train Macro f1 0.8436 | Val Loss 0.8981 | Val Micro f1 0.5833 | Val Macro f1 0.5761
Epoch 91 | Train Loss 0.6028 | Train Micro f1 0.8167 | Train Macro f1 0.8151 | Val Loss 0.8970 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 92 | Train Loss 0.5875 | Train Micro f1 0.8233 | Train Macro f1 0.8237 | Val Loss 0.8959 | Val Micro f1 0.5900 | Val Macro f1 0.5839
Epoch 93 | Train Loss 0.5891 | Train Micro f1 0.8467 | Train Macro f1 0.8471 | Val Loss 0.8952 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 94 | Train Loss 0.5982 | Train Micro f1 0.8400 | Train Macro f1 0.8403 | Val Loss 0.8944 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 95 | Train Loss 0.5722 | Train Micro f1 0.8267 | Train Macro f1 0.8258 | Val Loss 0.8936 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 96 | Train Loss 0.6022 | Train Micro f1 0.8367 | Train Macro f1 0.8375 | Val Loss 0.8928 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 97 | Train Loss 0.5777 | Train Micro f1 0.8500 | Train Macro f1 0.8502 | Val Loss 0.8920 | Val Micro f1 0.5867 | Val Macro f1 0.5802
Epoch 98 | Train Loss 0.5707 | Train Micro f1 0.8333 | Train Macro f1 0.8338 | Val Loss 0.8911 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 99 | Train Loss 0.5539 | Train Micro f1 0.8300 | Train Macro f1 0.8302 | Val Loss 0.8904 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 100 | Train Loss 0.5450 | Train Micro f1 0.8467 | Train Macro f1 0.8462 | Val Loss 0.8896 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 101 | Train Loss 0.5840 | Train Micro f1 0.8133 | Train Macro f1 0.8127 | Val Loss 0.8885 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 102 | Train Loss 0.5362 | Train Micro f1 0.8567 | Train Macro f1 0.8570 | Val Loss 0.8876 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 103 | Train Loss 0.5438 | Train Micro f1 0.8433 | Train Macro f1 0.8432 | Val Loss 0.8868 | Val Micro f1 0.5867 | Val Macro f1 0.5812
Epoch 104 | Train Loss 0.5530 | Train Micro f1 0.8267 | Train Macro f1 0.8263 | Val Loss 0.8860 | Val Micro f1 0.5867 | Val Macro f1 0.5812
Epoch 105 | Train Loss 0.5490 | Train Micro f1 0.8267 | Train Macro f1 0.8273 | Val Loss 0.8856 | Val Micro f1 0.5867 | Val Macro f1 0.5812
Epoch 106 | Train Loss 0.5302 | Train Micro f1 0.8467 | Train Macro f1 0.8464 | Val Loss 0.8852 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 107 | Train Loss 0.5562 | Train Micro f1 0.8367 | Train Macro f1 0.8372 | Val Loss 0.8849 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 108 | Train Loss 0.5260 | Train Micro f1 0.8200 | Train Macro f1 0.8222 | Val Loss 0.8847 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 109 | Train Loss 0.5423 | Train Micro f1 0.8600 | Train Macro f1 0.8607 | Val Loss 0.8845 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 110 | Train Loss 0.5373 | Train Micro f1 0.8467 | Train Macro f1 0.8463 | Val Loss 0.8842 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 111 | Train Loss 0.5346 | Train Micro f1 0.8133 | Train Macro f1 0.8114 | Val Loss 0.8841 | Val Micro f1 0.5833 | Val Macro f1 0.5776
EarlyStopping counter: {self.counter} out of {self.patience}
Epoch 112 | Train Loss 0.5120 | Train Micro f1 0.8567 | Train Macro f1 0.8570 | Val Loss 0.8842 | Val Micro f1 0.5833 | Val Macro f1 0.5776
EarlyStopping counter: {self.counter} out of {self.patience}
Epoch 113 | Train Loss 0.5270 | Train Micro f1 0.8367 | Train Macro f1 0.8360 | Val Loss 0.8843 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 114 | Train Loss 0.5446 | Train Micro f1 0.8233 | Train Macro f1 0.8227 | Val Loss 0.8840 | Val Micro f1 0.5833 | Val Macro f1 0.5776
Epoch 115 | Train Loss 0.5252 | Train Micro f1 0.8467 | Train Macro f1 0.8472 | Val Loss 0.8838 | Val Micro f1 0.5800 | Val Macro f1 0.5759
Epoch 116 | Train Loss 0.5180 | Train Micro f1 0.8267 | Train Macro f1 0.8277 | Val Loss 0.8838 | Val Micro f1 0.5800 | Val Macro f1 0.5759
Epoch 117 | Train Loss 0.4865 | Train Micro f1 0.8533 | Train Macro f1 0.8529 | Val Loss 0.8836 | Val Micro f1 0.5833 | Val Macro f1 0.5798
Test loss 0.9718 | Test Micro f1 0.5482 | Test Macro f1 0.5325
              precision    recall  f1-score   support

           0     0.6949    0.4924    0.5764       916
           1     0.5990    0.6848    0.6390      1069
           2     0.3554    0.4131    0.3821       702

    accuracy                         0.5482      2687
   macro avg     0.5498    0.5301    0.5325      2687
weighted avg     0.5681    0.5482    0.5505      2687
