,nodes
9606.ENSP00000006053,82
9606.ENSP00000351059,83
9606.ENSP00000379110,84
9606.ENSP00000305651,85
9606.ENSP00000306884,86
9606.ENSP00000379140,87
9606.ENSP00000286758,88
9606.ENSP00000293778,89
9606.ENSP00000427279,90
9606.ENSP00000296027,91
9606.ENSP00000306512,92
9606.ENSP00000354901,93
9606.ENSP00000295683,94
9606.ENSP00000319635,95
9606.ENSP00000362795,96
9606.ENSP00000386884,97
9606.ENSP00000292174,98
9606.ENSP00000395704,99
9606.ENSP00000302543,100
9606.ENSP00000258415,101
9606.ENSP00000485514,102
9606.ENSP00000370745,103
9606.ENSP00000346120,104
9606.ENSP00000336741,105
9606.ENSP00000356520,106
9606.ENSP00000261383,107
9606.ENSP00000262442,108
9606.ENSP00000320130,109
9606.ENSP00000265171,110
9606.ENSP00000275493,111
9606.ENSP00000269466,112
9606.ENSP00000252723,113
9606.ENSP00000320521,114
9606.ENSP00000351632,115
9606.ENSP00000356694,116
9606.ENSP00000271450,117
9606.ENSP00000351497,118
9606.ENSP00000336752,119
9606.ENSP00000346839,120
9606.ENSP00000366534,121
9606.ENSP00000365380,122
9606.ENSP00000471493,123
9606.ENSP00000468897,124
9606.ENSP00000283309,125
9606.ENSP00000346671,126
9606.ENSP00000434034,127
9606.ENSP00000354607,128
9606.ENSP00000229239,129
9606.ENSP00000331745,130
9606.ENSP00000363492,131
9606.ENSP00000287020,132
9606.ENSP00000272224,133
9606.ENSP00000248114,134
9606.ENSP00000359385,135
9606.ENSP00000265276,136
9606.ENSP00000376345,137
9606.ENSP00000216341,138
9606.ENSP00000295757,139
9606.ENSP00000408617,140
9606.ENSP00000222390,141
9606.ENSP00000480291,142
9606.ENSP00000222753,143
9606.ENSP00000264832,144
9606.ENSP00000276927,145
9606.ENSP00000369554,146
9606.ENSP00000270139,147
9606.ENSP00000343957,148
9606.ENSP00000369581,149
9606.ENSP00000229135,150
9606.ENSP00000356713,151
9606.ENSP00000302665,152
9606.ENSP00000290341,153
9606.ENSP00000371634,154
9606.ENSP00000396301,155
9606.ENSP00000412237,156
9606.ENSP00000227752,157
9606.ENSP00000290200,158
9606.ENSP00000264563,159
9606.ENSP00000470788,160
9606.ENSP00000262345,161
9606.ENSP00000304915,162
9606.ENSP00000296545,163
9606.ENSP00000344192,164
9606.ENSP00000280357,165
9606.ENSP00000263339,166
9606.ENSP00000263341,167
9606.ENSP00000386380,168
9606.ENSP00000368278,169
9606.ENSP00000226730,170
9606.ENSP00000264497,171
9606.ENSP00000338010,172
9606.ENSP00000442424,173
9606.ENSP00000270800,174
9606.ENSP00000228534,175
9606.ENSP00000321345,176
9606.ENSP00000263379,177
9606.ENSP00000369293,178
9606.ENSP00000216223,179
9606.ENSP00000363318,180
9606.ENSP00000296870,181
9606.ENSP00000370842,182
9606.ENSP00000327890,183
9606.ENSP00000231449,184
9606.ENSP00000379111,185
9606.ENSP00000231454,186
9606.ENSP00000412209,187
9606.ENSP00000385675,188
9606.ENSP00000357470,189
9606.ENSP00000370698,190
9606.ENSP00000263851,191
9606.ENSP00000306157,192
9606.ENSP00000274520,193
9606.ENSP00000404121,194
9606.ENSP00000380432,195
9606.ENSP00000245414,196
9606.ENSP00000471896,197
9606.ENSP00000268638,198
9606.ENSP00000480499,199
9606.ENSP00000349252,200
9606.ENSP00000441691,201
9606.ENSP00000454623,202
9606.ENSP00000379350,203
9606.ENSP00000380948,204
9606.ENSP00000343204,205
9606.ENSP00000371067,206
9606.ENSP00000391676,207
9606.ENSP00000380307,208
9606.ENSP00000325448,209
9606.ENSP00000225916,210
9606.ENSP00000358784,211
9606.ENSP00000333496,212
9606.ENSP00000319591,213
9606.ENSP00000463778,214
9606.ENSP00000381216,215
9606.ENSP00000288135,216
9606.ENSP00000240618,217
9606.ENSP00000398837,218
